1,1959,50,,
2,2036,50,,
3,1872,50,,
4,514,50,,
5,997,50,,
6,2053,50,,
7,2029,50,,
8,505,50,,
9,427,50,,
10,3066,50,,
,,,3,1
1,3051,50,,
2,2054,50,,
3,1826,50,,
4,530,50,,
5,2021,50,,
6,1007,50,,
7,1992,50,,
8,511,50,,
9,433,50,,
10,2023,50,,
,,,3,2
1,2848,50,,
2,2075,50,,
3,1632,50,,
4,530,50,,
5,1985,50,,
6,1414,50,,
7,1504,50,,
8,523,50,,
9,434,50,,
10,2422,50,,
,,,3,3
1,2781,50,,
2,1901,50,,
3,1581,50,,
4,531,50,,
5,1909,50,,
6,1427,50,,
7,1529,50,,
8,496,50,,
9,427,50,,
10,2387,50,,
,,,3,4
1,2760,50,,
2,2216,50,,
3,1581,50,,
4,532,50,,
5,1840,50,,
6,1571,50,,
7,1548,50,,
8,562,50,,
9,520,50,,
10,2567,50,,
,,,3,5
1,2730,50,,
2,1827,50,,
3,1573,50,,
4,532,50,,
5,1810,50,,
6,1602,50,,
7,1547,50,,
8,473,50,,
9,499,50,,
10,2609,50,,
,,,3,6
1,2698,50,,
2,2209,50,,
3,1572,50,,
4,532,50,,
5,1798,50,,
6,1710,50,,
7,1563,50,,
8,577,50,,
9,476,50,,
10,2727,50,,
,,,3.7
1,3026,50,,
2,2044,50,,
3,1835,50,,
4,532,50,,
5,2040,50,,
6,1056,50,,
7,2042,50,,
8,526,50,,
9,435,50,,
10,2130,50,,
,,,3,8
1,2017,50,,
2,2034,50,,
3,1813,50,,
4,524,50,,
5,2099,50,,
6,2068,50,,
7,2067,50,,
8,532,50,,
9,419,50,,
10,2027,50,,
,,,3,9